ID;Provincia;Parcela;pH;CE ;F h;Carb (%);Ca ;Mg ;k ;Na ;RAS;SB (cmol/kg);Mn ;Zn ;Cu ;Fe ;P (ppm);%C;%MO;%Arcilla;%Limo;%Arena
24;Lugo;272894;3,73;0,121;0,949;N;294,73;113,19;878,73;3440,24;15,35;19,12;9,5;4,57;2,02;569,25;56,82;7,73;13,3;2,67;15,49;81,84
25;Ourense;320550;5,24;0,0413;0,979;N;498,89;51,64;753,99;1649,54;6,24;11,75;56,24;0,18;2,29;74,72;3,59;2,53;4,34;3,22;31,35;65,44
49;Ourense;320550;5,9;0,0418;0,933;N;455,69;58,44;640,07;2566,25;10,06;15,27;70,49;0,37;3,09;92,93;25,73;3,44;5,92;3,15;28,8;68,05
45;Ourense;320575;4,83;0,0618;0,933;N;501,99;45,3;1258,04;1903,77;7,22;14,14;131,9;2,62;3,26;162,91;58,42;2,99;5,15;4,01;20,76;75,22
51;Ourense;320575;5,09;0,0801;0,927;N;501,14;52,2;1028,04;5637,27;21,27;29,82;114,85;0,94;4,14;159,1;34,63;3,41;5,87;4,37;25,35;70,28
27;Ourense;320602;4,93;0,0276;0,936;N;156,67;19,1;668,03;2113,04;14,16;11,75;27,72;0,46;1,88;98,86;19,92;3,14;5,4;1,74;13,38;84,88
46;Ourense;320602;4,9;0,0327;0,939;N;165,87;24,29;617,49;2325,55;15,01;12,61;23,37;0,26;2,73;86,06;22,86;2,55;4,38;3,71;11,94;84,35
42;Sevilla;410143;5,48;0,028;0,98;N;440,79;36,45;1680,89;3551,81;14,41;22,06;31;0,08;2,61;34,28;7,66;1,55;2,67;3,81;30,08;66,11
53;Sevilla;410143;6,34;0,035;0,977;N;525,29;36,56;1441,92;3541,71;13,23;21,81;21,9;0,05;2,95;27,99;10,86;2;3,43;3,8;26,51;69,7
17;Sevilla;410162;6,75;0,0772;0,932;N;1208,15;72,1;849,45;1825,38;4,52;16,31;73,63;0,37;6,87;21,8;3,48;1,54;2,65;6,41;23,17;70,42
26;Sevilla;410162;6,44;0,0835;0,974;N;1497,76;67,74;833,01;2360,1;5,27;19,99;116,8;0,51;6,9;17,74;3,31;2,4;4,13;5,86;22,93;71,21
22;Sevilla;410273;5,66;0,0313;0,982;N;559,69;35,16;1061,15;2164,61;7,86;15,01;247,38;0,41;8,31;23,13;2,25;1,44;2,47;12,08;33,74;54,18
31;Sevilla;410273;5,97;0,1044;0,929;N;1235,75;45,63;1134,91;2047,94;5,06;18,03;261,13;2,14;12,23;55,62;3,53;1,43;2,46;6,4;28,99;64,61
10;Sevilla;410283;6,86;0,0882;0,979;N;1512,52;34,33;1098,98;2050,5;4,6;19,25;107,3;0,31;2,62;15,2;4,17;1,63;2,81;23,9;26,09;50
38;Sevilla;410283;7,24;0,1165;0,977;N;1546,34;33,56;1386,68;2554,4;5,67;22,34;126,08;0,73;3,27;26,03;14,03;2,31;3,97;13,68;31,09;55,23
36;Sevilla;410296;5,07;0,0375;0,932;N;701,68;92,97;1020,4;1774,81;5,6;14,14;152,93;2,01;3,43;127,01;3,51;2,14;3,68;13,02;35,41;51,56
54;Sevilla;410296;5,91;0,0419;0,932;N;980,5;126,68;876,16;2844,3;7,6;19,92;78,5;0,56;3,43;43,58;7,48;1,41;2,42;15,06;35,67;49,27
23;Toledo;450101;5,32;0,01991;0,993;N;178,43;14,64;638,89;2404,68;15,34;13,03;21,79;0,12;1,61;16,28;2,7;0,85;1,47;1,82;11,09;87,09
44;Toledo;450101;6,29;0,0262;0,956;N;211,04;19,12;695,85;1819,38;10,64;10,81;22,47;0,1;2,34;17,92;11,77;0,85;1,45;0,26;8,22;91,53
12;Toledo;450176;5,57;0,02;0,968;N;280,17;34,04;690,94;2079,85;10,43;12,32;26,62;0,16;1,32;28,11;10,66;0,62;1,07;6,13;16,36;77,51
52;Toledo;450176;5,35;0,0226;0,993;N;318,59;33,3;793,03;3923,06;18,57;20,79;22,72;0;2,42;12,57;13,87;0,58;0,99;6,28;4,46;89,26
57;Toledo;450203;5,25;0,0383;0,986;N;214,12;21,1;1190,45;2899,81;16,78;16,79;26,92;0,1;2,6;36,67;78,51;1,6;2,75;2,94;15,2;81,85
58;Toledo;450203;5,36;0,0468;0,953;N;333,38;31,47;1325,8;2725,94;12,66;17,01;15,81;0,69;2,69;64,95;142,99;1,9;3,27;4,05;11,12;84,83
